["🇦🇩", " emoji "],
["🇦🇪", " emoji "],
["🇦🇫", " emoji "],
["🇦🇬", " emoji "],
["🇦🇮", " emoji "],
["🇦🇱", " emoji "],
["🇦🇲", " emoji "],
["🇦🇴", " emoji "],
["🇦🇶", " emoji "],
["🇦🇷", " emoji "],
["🇦🇸", " emoji "],
["🇦🇹", " emoji "],
["🇦🇺", " emoji "],
["🇦🇼", " emoji "],
["🇦🇽", " emoji "],
["🇦🇿", " emoji "],
["🇧🇦", " emoji "],
["🇧🇧", " emoji "],
["🇧🇩", " emoji "],
["🇧🇪", " emoji "],
["🇧🇫", " emoji "],
["🇧🇬", " emoji "],
["🇧🇭", " emoji "],
["🇧🇮", " emoji "],
["🇧🇯", " emoji "],
["🇧🇱", " emoji "],
["🇧🇲", " emoji "],
["🇧🇳", " emoji "],
["🇧🇴", " emoji "],
["🇧🇶", " emoji "],
["🇧🇷", " emoji "],
["🇧🇸", " emoji "],
["🇧🇹", " emoji "],
["🇧🇻", " emoji "],
["🇧🇼", " emoji "],
["🇧🇾", " emoji "],
["🇧🇿", " emoji "],
["🇨🇦", " emoji "],
["🇨🇨", " emoji "],
["🇨🇩", " emoji "],
["🇨🇫", " emoji "],
["🇨🇬", " emoji "],
["🇨🇭", " emoji "],
["🇨🇮", " emoji "],
["🇨🇰", " emoji "],
["🇨🇱", " emoji "],
["🇨🇲", " emoji "],
["🇨 🇳", " emoji "],
["🇨🇴", " emoji "],
["🇨🇷", " emoji "],
["🇨🇺", " emoji "],
["🇨🇻", " emoji "],
["🇨🇼", " emoji "],
["🇨🇽", " emoji "],
["🇨 🇾", " emoji "],
["🇨🇿", " emoji "],
["🇩🇪", " emoji "],
["🇩🇯", " emoji "],
["🇩🇰", " emoji "],
["🇩🇲", " emoji "],
["🇩🇴", " emoji "],
["🇩🇿", " emoji "],
["🇪🇨", " emoji "],
["🇪🇪", " emoji "],
["🇪🇬", " emoji "],
["🇪🇭", " emoji "],
["🇪🇷", " emoji "],
["🇪🇸", " emoji "],
["🇪🇹", " emoji "],
["🇪🇺", " emoji "],
["🇫🇮", " emoji "],
["🇫🇯", " emoji "],
["🇫🇰", " emoji "],
["🇫🇲", " emoji "],
["🇫🇴", " emoji "],
["🇫🇷", " emoji "],
["🇬🇦", " emoji "],
["🇬🇧", " emoji "],
["🇬🇩", " emoji "],
["🇬🇪", " emoji "],
["🇬🇫", " emoji "],
["🇬🇬", " emoji "],
["🇬🇭", " emoji "],
["🇬🇮", " emoji "],
["🇬🇱", " emoji "],
["🇬🇲", " emoji "],
["🇬🇳", " emoji "],
["🇬🇵", " emoji "],
["🇬🇶", " emoji "],
["🇬🇷", " emoji "],
["🇬🇸", " emoji "],
["🇬🇹", " emoji "],
["🇬🇺", " emoji "],
["🇬🇼", " emoji "],
["🇬🇾", " emoji "],
["🇭 🇰", " emoji "],
["🇭🇲", " emoji "],
["🇭 🇳", " emoji "],
["🇭 🇷", " emoji "],
["🇭🇹", " emoji "],
["🇭 🇺", " emoji "],
["🇮🇨", " emoji "],
["🇮🇩", " emoji "],
["🇮🇪", " emoji "],
["🇮🇱", " emoji "],
["🇮🇲", " emoji "],
